category	yelp_rating	yelp_rating_count	yelp_price	seamless_rating	seamless_rating_count	seamless_price	sanitation_grade	sanitation_score	city	median_zip_income
american							A	13	Queens	67516
american							A	9	Queens	46325
coffee/cafe	3.5	4			0	0.6		7	New York	107976
burgers/hotdogs/junk	2.857143	42	0.4				A	10	Staten Island	86759
bakery							A	9	Bronx	32985
soup/salad/sandwiches							A	10	Queens	85151
coffee/cafe	3.139535	172	0.4				A	7	New York	77853
mexican	3.9130435	46	0.2	5	46	0.6	A	11	Brooklyn	42434
misc_restaurant	2.5	2					A	12	Bronx	26120
coffee/cafe	3.2222223	18	0.4				A	12	New York	101979
pizza							A	11	Bronx	32985
icecream/desserts							A	9	Brooklyn	38267
icecream/desserts	5.0	1	0.2				A	2	New York	64013
burgers/hotdogs/junk	2.125	7	0.2				A	5	New York	40385
chinese							A	2	Brooklyn	34590
french	3.5754716	106	0.4	4	8	0.6	A	12	Brooklyn	62634
french	3.7042682	328	0.4				A	2	New York	68463
chinese	3.2142856	14	0.4				A	12	Queens	43248
mediterranean/mideastern	3.7462687	134	0.2				A	10	New York	77853
misc							A	2	Brooklyn	38267
chinese								29	Brooklyn	41246
mexican	3.652174	92	0.4	5	83	0.4	A	9	New York	115787
american							A	9	Brooklyn	40146
italian	2.1791046	67	0.4				A	2	New York	68790
mediterranean/mideastern	3.7959185	98	0.4	5	81	0.6	A	8	New York	106236
french	3.3647294	499	0.4	4	51	0.6	A	3	New York	65934
misc_restaurant	3.3333333	3	0.2				A	8	Brooklyn	37608
misc_restaurant	3.8082192	438	0.6				A	7	New York	68790
coffee/cafe	3.0822282	377	0.4	3	17	0.4	Z	40	Queens	49371
thai/vietnamese/se_asian	3.4714286	210	0.6				A	12	New York	91767
italian	3.1643836	73	0.4	4	79	0.4	A	10	New York	110091
misc_restaurant	1.0	2	0.2						Brooklyn	68177
american					0	0.2	A	10	Bronx	23297
burgers/hotdogs/junk							A	8	Brooklyn	42434
american	3.6831684	101	0.4				A	10	New York	80519
american							Z	31	Brooklyn	32642
vegan/vegetarian/health	3.121212	33	0.6	4	35	0.4	A	2	Brooklyn	44173
american								22	Staten Island	79820
bakery	4.9333334	15	0.2				A	0	New York	68463
thai/vietnamese/se_asian	3.9425287	87	0.4				A	4	Queens	47750
american	3.9713466	349	0.4				A	12	Brooklyn	93184
mediterranean/mideastern	4.357143	28	0.4				A	10	New York	77853
bakery	3.5	14	0.2				B	26	Brooklyn	40565
mediterranean/mideastern	2.9795918	49	0.2	5	24	0.4	A	12	New York	68463
american							A	11	New York	95556
mediterranean/mideastern	3.8050315	318	0.4				A	7	New York	59034
bars/nightlife	2.5238094	22	0.8				A	12	New York	32265
thai/vietnamese/se_asian	3.275862	58	0.4					35	Queens	75729
latin								35	Bronx	22604
american	3.6140351	57	0.4				A	10	New York	64013
soup/salad/sandwiches	3.55	40	0.4	5	14	0.4	A	10	Brooklyn	57713
bbq/southern	3.1310043	687	0.4	4	313	0.4	A	9	New York	64013
american							A	9	New York	95556
american							A	13	Brooklyn	38267
